Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Friends,1994,16+,8.9,94,"Comedy,Romance","The misadventures of a group of friends as they navigate the pitfalls of work, life and love in Manhattan.Friends featuring Matthew Perry and Matt LeBlanc has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming via tv everywhere with TBS, and 6 others. It's a comedy and drama show with 238 episodes over 10 seasons. Friends is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.9 (785,332 votes) and was well received by critics.",10Seasons,"HBO MAX,Hulu,TBS"
The Office,2005,16+,8.9,93,"Comedy,2005","The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.The Office featuring Rainn Wilson and Jenna Fischer has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with Comedy Central (Via Cable/Satellite Provider), streaming with subscription on fuboTV, and 3 others. It's a comedy show with 224 episodes over 9 seasons. The Office is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.9 (378,896 votes) and was well received by critics.",9Seasons,"Netflix,Comedy Central,fuboTV"
Supernatural,2005,16+,8.4,93,"Drama,Fantasy","When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way.Supernatural featuring Jensen Ackles and Jared Padalecki has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with TNT, free on The CW, and 6 others. It's a drama and fantasy show with 322 episodes over 15 seasons. Supernatural has a new episode airing on October 8th, 2020 (PDT). It has a high IMDb audience rating of 8.4 (378,738 votes) and was very well received by critics.",15 Seasons,"Free Services,Netflix,TNT"
The Wire,2002,18+,9.3,93,"Crime,Drama","Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.The Wire featuring Dominic West and Lance Reddick has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 5 others. It's a crime and drama show with 60 episodes over 5 seasons. The Wire is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.3 (274,706 votes) and was very well received by critics.",5Seasons,"HBO MAX,HBO"
Better Call Saul,2015,18+,8.7,92,"Comedy,Crime","Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".Better Call Saul featuring Bob Odenkirk and Jonathan Banks has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a comedy and crime show with 50 episodes over 5 seasons. Better Call Saul is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (305,414 votes) and was very well received by critics.",5Seasons,Netflix
Attack on Titan,2013,18+,8.8,92,"Action & Adventure,Anime","Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind.Attack on Titan featuring Yuki Kaji and Marina Inoue has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, streaming with subscription on Crunchyroll, and 10 others. It's an action & adventure and animation show with 60 episodes over 3 seasons. Attack on Titan is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (146,875 votes) and was very well received by critics.",3Seasons,"Free Services,Netflix,Hulu"
Black Mirror,2011,18+,8.8,92,"Drama,Science-Fiction","A contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world. Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.Black Mirror has one or more episodes streaming with subscription on Netflix, and available for purchase on iTunes. It's a drama and fantasy show with 22 episodes over 5 seasons. Black Mirror is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (417,642 votes) and was well received by critics.",5Seasons,Netflix
Band of Brothers,2001,18+,9.4,92,"Action & Adventure,Drama","Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.Band of Brothers featuring Damian Lewis and Donnie Wahlberg has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 5 others. It's an action & adventure and drama show with 10 episodes over 1 season. Band of Brothers is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.4 (362,057 votes) and was very well received by critics.",1 Season,"HBO MAX,HBO"
House,2004,16+,8.7,92,"Drama,Mystery","Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.House featuring Hugh Laurie and Omar Epps has one or more episodes streaming with subscription on Prime Video, streaming via tv everywhere with NBC (Via Cable/Satellite Provider), free on NBC, and 3 others. It's a comedy and drama show with 180 episodes over 8 seasons. House is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.7 (404,083 votes) and was very well received by critics.",8Seasons,"Free Services,Prime Video,NBC"
Lucifer,2016,16+,8.2,92,"Fantasy,Crime","Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.Lucifer featuring Tom Ellis and Lauren German has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a comedy and crime show with 75 episodes over 5 seasons. Lucifer is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.2 (209,541 votes) and was well received by critics.",5Seasons,Netflix
Money Heist,2017,18+,8.4,92,"Thriller,Action & Adventure","To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.Money Heist featuring Úrsula Corberó and Álvaro Morte has one or more episodes streaming with subscription on Netflix. It's an action & adventure and crime show with 38 episodes over 2 seasons. Money Heist is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (269,489 votes) and was very well received by critics.",2Seasons,Netflix
Mr. Robot,2015,18+,8.5,92,"Drama,Thriller","A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.Mr. Robot featuring Rami Malek and Christian Slater has one or more episodes streaming with subscription on Prime Video, streaming via tv everywhere with USA (Via Cable/Satellite Provider), streaming with subscription on fuboTV, and 5 others. It's a crime and drama show with 45 episodes over 4 seasons. Mr. Robot is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (321,181 votes) and was very well received by critics.",4Seasons,"Prime Video,USA,fuboTV"
Peaky Blinders,2013,18+,8.8,92,"Crime,Drama","A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.Peaky Blinders featuring Cillian Murphy and Paul Anderson has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 3 others. It's a crime and drama show with 30 episodes over 5 seasons. Peaky Blinders is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (308,525 votes) and was very well received by critics.",5 Seasons,Netflix
Cobra Kai,2018,16+,8.8,91,"Action & Adventure,Drama","This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.Cobra Kai featuring Ralph Macchio and William Zabka has one or more episodes streaming with subscription on Netflix, streaming with subscription on YouTube Premium, free on YouTube Premium, and 5 others. It's an action & adventure and comedy show with 20 episodes over 2 seasons. Cobra Kai is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (57,711 votes) and was very well received by critics.",2Seasons,"Free Services,Netflix,YouTube Premium"
The Simpsons,1989,7+,8.7,91,"Animation,Comedy","Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.The Simpsons featuring Dan Castellaneta and Julie Kavner has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FX (Via Cable/Satellite Provider), streaming with subscription on Disney+, and 7 others. It's an animation and comedy show with 684 episodes over 31 seasons. The Simpsons has a new episode airing on September 27th, 2020 (PDT). It has a high IMDb audience rating of 8.7 (356,453 votes) and was well received by critics.",31 Seasons,"Free Services,Hulu,FX"
The Mandalorian,2019,16+,8.7,91,"Action & Adventure,Science-Fiction","After the fall of the Galactic Empire, lawlessness has spread throughout the galaxy. A lone gunfighter makes his way through the outer reaches, earning his keep as a bounty hunter.The Mandalorian featuring Pedro Pascal and Gina Carano has one or more episodes streaming with subscription on Disney+. It's an action & adventure and fantasy show with 8 episodes over 1 season. The Mandalorian is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (187,117 votes) and was very well received by critics.",1Season,Disney+
The Sopranos,1999,18+,9.2,91,"Crime,Drama","The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.The Sopranos featuring James Gandolfini and Edie Falco has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 4 others. It's a crime and drama show with 86 episodes over 6 seasons. The Sopranos is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.2 (287,127 votes) and was very well received by critics.",6Seasons,"HBO MAX,HBO"
The Umbrella Academy,2019,18+,8.0,91,"Action & Adventure,Comedy","A dysfunctional family of superheroes comes together to solve the mystery of their father's death, the threat of the apocalypse and more.The Umbrella Academy featuring Tom Hopper and David Castañeda has one or more episodes streaming with subscription on Netflix. It's an action & adventure and comedy show with 20 episodes over 2 seasons. The Umbrella Academy is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.0 (132,132 votes) and was well received by critics.",2Seasons,Netflix
Vikings,2013,18+,8.5,91,"Action & Adventure,Drama","The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.Vikings featuring Alexander Ludwig and Jordan Patrick Smith has one or more episodes streaming with subscription on Prime Video, streaming with subscription on Hulu, available for purchase on iTunes, and 5 others. It's an action & adventure and drama show with 80 episodes over 6 seasons. Vikings is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.5 (402,321 votes) and was very well received by critics.",6Seasons,"Prime Video,Hulu"
The Walking Dead,2010,18+,8.2,91,"Drama,Horror","Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.The Walking Dead featuring Norman Reedus and Danai Gurira has one or more episodes streaming with subscription on Netflix, streaming via tv everywhere with AMC, streaming with subscription on fuboTV, and 6 others. It's an action & adventure and drama show with 146 episodes over 10 seasons. The Walking Dead has a new episode airing on October 4th, 2020 (PDT). It has a high IMDb audience rating of 8.2 (833,324 votes) and was well received by critics.",10Seasons,"Netflix,AMC,fuboTV"
Lost,2004,16+,8.3,91,"Action & Adventure,Drama","Stripped of everything, the survivors of a horrific plane crash must work together to stay alive. But the island holds many secrets.Lost featuring Naveen Andrews and Emilie de Ravin has one or more episodes streaming with subscription on Hulu, free on IMDb TV, available for purchase on Google Play, and 2 others. It's an action & adventure and drama show with 124 episodes over 6 seasons. Lost is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.3 (483,722 votes) and was well received by critics.",6 Seasons,"Free Services,Hulu"
Brooklyn Nine-Nine,2013,16+,8.4,91,"Comedy,Crime","A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.Brooklyn Nine-Nine featuring Andy Samberg and Melissa Fumero has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with TBS, streaming via tv everywhere with NBC (Via Cable/Satellite Provider), and 7 others. It's an action & adventure and comedy show with 143 episodes over 7 seasons. Brooklyn Nine-Nine is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (206,113 votes) and was very well received by critics.",7 Seasons,"Free Services,Hulu,TBS"
Sex Education,2019,16+,8.3,91,"Comedy,LGBTQ","Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.Sex Education featuring Asa Butterfield and Gillian Anderson has one or more episodes streaming with subscription on Netflix. It's a comedy and drama show with 16 episodes over 2 seasons. Sex Education is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.3 (142,383 votes) and was very well received by critics.",2Seasons,Netflix
Mindhunter,2017,18+,8.6,91,"Crime,Drama","An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists.Mindhunter featuring Jonathan Groff and Holt McCallany has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 19 episodes over 2 seasons. Mindhunter is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (199,286 votes) and was very well received by critics.",2Seasons,Netflix
Dexter,2006,18+,8.6,91,"Crime,Drama","Dexter Morgan, a blood spatter pattern analyst for the Miami Metro Police also leads a secret life as a serial killer, hunting down criminals who have slipped through the cracks of justice.Dexter featuring Michael C. Hall and Jennifer Carpenter has one or more episodes streaming with subscription on Netflix, streaming on Showtime, free on Showtime FREEview, and 7 others. It's a crime and drama show with 96 episodes over 8 seasons. Dexter is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (629,796 votes) and was well received by critics.",8Seasons,"Free Services,Netflix,Showtime"
Narcos,2015,18+,8.8,91,"Crime,Drama","A gritty chronicle of the war against Colombia's infamously violent and powerful drug cartels.Narcos featuring Pedro Pascal and Matias Varela has one or more episodes streaming with subscription on Netflix. It's an action & adventure and biography show with 30 episodes over 3 seasons. Narcos is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.8 (340,614 votes) and was very well received by critics.",3Seasons,Netflix
Westworld,2016,18+,8.7,91,"Drama,Science-Fiction","A dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged.Westworld featuring Evan Rachel Wood and Thandie Newton has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 4 others. It's an action & adventure and drama show with 28 episodes over 3 seasons. Westworld is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (411,111 votes) and was well received by critics.",3Seasons,"HBO MAX,HBO"
True Detective,2014,18+,9.0,91,"Crime,Drama","An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.True Detective featuring Mahershala Ali and Stephen Dorff has one or more episodes streaming with subscription on HBO MAX, streaming on HBO, available for purchase on iTunes, and 5 others. It's a crime and drama show with 24 episodes over 3 seasons. True Detective is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 9.0 (484,267 votes) and was well received by critics.",3Seasons,"HBO MAX,HBO"
South Park,1997,18+,8.7,90,"Animation,Comedy","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.South Park featuring Trey Parker and Matt Stone has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming via tv everywhere with Comedy Central (Via Cable/Satellite Provider), and 9 others. It's an animation and comedy show with 309 episodes over 23 seasons. South Park is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (323,497 votes) and was well received by critics.",23 Seasons,"Free Services,HBO MAX,Hulu"
Parks and Recreation,2009,16+,8.6,90,"Comedy,2009","Hilarious ensemble comedy that follows Leslie Knope, a mid-level bureaucrat in the Parks and Recreation Department of Pawnee, Indiana, and her tireless efforts to make her quintessentially American town just a little bit more fun.Parks and Recreation featuring Amy Poehler and Rashida Jones has one or more episodes streaming with subscription on Netflix, streaming with subscription on Prime Video, streaming with subscription on Hulu, and 10 others. It's a comedy show with 126 episodes over 7 seasons. Parks and Recreation is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (203,434 votes) and was very well received by critics.",7Seasons,"Free Services,Netflix,Prime Video"
Mad Men,2007,16+,8.6,90,"Drama,2007","Mad Men is set in the 1960s, initially at the fictional Sterling Cooper advertising agency on Madison Avenue in New York City, and later at the newly created firm, Sterling Cooper Draper Pryce, located nearby in the Time-Life Building, at 1271 Avenue of the Americas. According to the show's pilot, the phrase ""mad men"" was a slang term coined in the 1950s by advertisers working on Madison Avenue to refer to themselves. The focal point of the series is Don Draper, creative director at Sterling Cooper and a founding partner at Sterling Cooper Draper Pryce, and the people in his life, both in and out of the office. The plot focuses on the business of the agencies as well as the personal lives of the characters, regularly depicting the changing moods and social mores of the United States in the 1960s.Mad Men featuring John Slattery and Jon Hamm has one or more episodes streaming with subscription on Netflix, free on IMDb TV, available for purchase on iTunes, and 3 others. It's a drama show with 94 episodes over 7 seasons. Mad Men is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (200,295 votes) and was very well received by critics.",7Seasons,"Free Services,Netflix"
Marvel's Daredevil,2015,18+,8.6,90,"Action & Adventure,Crime","Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.Marvel's Daredevil featuring Charlie Cox and Deborah Ann Woll has one or more episodes streaming with subscription on Netflix, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's an action & adventure and crime show with 39 episodes over 3 seasons. Marvel's Daredevil is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.6 (353,578 votes) and was very well received by critics.",3Seasons,Netflix
Firefly,2002,16+,9.0,90,"Drama,Science-Fiction","In the year 2517, after the arrival of humans in a new star system, follow the adventures of the renegade crew of Serenity, a ""Firefly-class"" spaceship. The ensemble cast portrays the nine characters who live on Serenity.Firefly featuring Nathan Fillion and Gina Torres has one or more episodes streaming with subscription on Hulu, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's an action & adventure and drama show with 14 episodes over 1 season. Firefly is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 9.0 (239,339 votes) and was well received by critics.",1Season,Hulu
Fringe,2008,16+,8.4,90,"Crime,Drama","FBI Special Agent Olivia Dunham, brilliant but formerly institutionalized scientist Walter Bishop and his scheming, reluctant son Peter uncover a deadly mystery involving a series of unbelievable events and realize they may be a part of a larger, more disturbing pattern that blurs the line between science fiction and technology.Fringe featuring Anna Torv and Jasika Nicole has one or more episodes free on IMDb TV, available for purchase on iTunes, available for purchase on Google Play, and 4 others. It's a crime and drama show with 100 episodes over 5 seasons. Fringe is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (215,897 votes) and was very well received by critics.",5 Seasons,Free Services
Shameless,2011,18+,8.6,90,"Comedy,Drama","Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.Shameless featuring William H. Macy and Jeremy Allen White has one or more episodes streaming with subscription on Netflix, streaming on Showtime, streaming with subscription on fuboTV, and 6 others. It's a comedy and drama show with 122 episodes over 10 seasons. Shameless is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.6 (193,759 votes) and was well received by critics.",10 Seasons,"Netflix,Showtime,fuboTV"
The Big Bang Theory,2007,16+,8.1,90,"Comedy,Romance","The Big Bang Theory is centered on five characters living in Pasadena, California: roommates Leonard Hofstadter and Sheldon Cooper; Penny, a waitress and aspiring actress who lives across the hall; and Leonard and Sheldon's equally geeky and socially awkward friends and co-workers, mechanical engineer Howard Wolowitz and astrophysicist Raj Koothrappali. The geekiness and intellect of the four guys is contrasted for comic effect with Penny's social skills and common sense.The Big Bang Theory featuring Jim Parsons and Johnny Galecki has one or more episodes streaming with subscription on HBO MAX, streaming with subscription on Hulu, streaming via tv everywhere with TBS, and 3 others. It's a comedy and romance show with 282 episodes over 12 seasons. The Big Bang Theory is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.1 (700,513 votes) and was well received by critics.",12Seasons,"HBO MAX,Hulu,TBS"
